==> TMDB_all_movies.csv <==
"id","title","vote_average","vote_count","status","release_date","revenue","runtime","budget","imdb_id","original_language","original_title","overview","popularity","tagline","genres","production_companies","production_countries","spoken_languages","cast","director","director_of_photography","writers","producers","music_composer","imdb_rating","imdb_votes","poster_path"
"2","Ariel","7.1","353.0","Released","1988-10-21","0.0","73.0","0.0","tt0094675","fi","Ariel","A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.","1.0117","","Comedy, Drama, Romance, Crime","Villealfa Filmproductions","Finland","suomi","Marja Packalén, Olli Varja, Matti Pellonpää, Juuso Hirvikangas, Heikki Salomaa, Markku Rantala, Reijo Marin, Eino Kuusela, Tarja Keinänen, Merja Pulkkinen, Tomi Salmela, Mikko Lyytikäinen, Timo Markko, Timo Toikka, Pekka Wilen, Hanna Jokinen, Jyrki Olsonen, Jorma Markkula, Kari Helaseppä, Turo Pajala, Matti Jaaranen, Sami Lanki, Jouko Lumme, Hannu Kivisalo, Erkki Pajala, Sakari Kuosmanen, Timo Harakka, Eetu Hilkamo, Kauko Laalo, Hannu Viholainen, Esko Salminen, Veikko Uusimäki, Pentti Auer, Susanna Haavisto, Sirkka Rautiainen, Jaakko Talaskivi, Heikki Anttila, Mikko Remes, Esko Nikkari","Aki Kaurismäki","Timo Salminen","Aki Kaurismäki","Aki Kaurismäki","","7.4","9329.0","/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg"
"3","Shadows in Paradise","7.291","413.0","Released","1986-10-17","0.0","74.0","0.0","tt0092149","fi","Varjoja paratiisissa","Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","0.6984","","Comedy, Drama, Romance","Villealfa Filmproductions","Finland","suomi, English, svenska","Riikka Kuosmanen, Bertta Pellonpää, Aki Kaurismäki, Antti Ortamo, Olli Varja, Matti Pellonpää, Pentti Koski, Jukka-Pekka Palo, Tanja Talaskivi, Esko Nikkari, Sakari Kuosmanen, Kylli Köngäs, Mari Rantasila, Erkki Rissanen, Sirkka Silin, Pekka Laiho, Eskil Mansikka, Ari Korhonen, Neka Haapanen, Sakke Järvenpää, Jaakko Talaskivi, Mato Valtonen, Teuvo Rissanen, Svante Korkiakoski, Kati Outinen, Malla Hukkanen, Ulla Kuosmanen, Safka Pekkonen, Jussi Tiitinen, Marina Martinoff, Jukka Mäkinen, Helmeri Pellonpää, Haije Alanoja","Aki Kaurismäki","Timo Salminen","Aki Kaurismäki","Mika Kaurismäki","","7.4","8166.0","/nj01hspawPof0mJmlgfjuLyJuRN.jpg"
"5","Four Rooms","5.869","2709.0","Released","1995-12-09","4257354.0","98.0","4000000.0","tt0113101","en","Four Rooms","It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","2.6362","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","Comedy","Miramax, A Band Apart","United States of America","English","Paul Skemp, Sammi Davis, Quinn Hellerman, David Proval, Kimberly Blair, Kathy Griffin, Marisa Tomei, Jennifer Beals, Lili Taylor, Danny Verduzco, Marc Lawrence, Antonio Banderas, Laura Rush, Amanda de Cadenet, Salma Hayek Pinault, Bruce Willis, Tim Roth, Ione Skye, Paul Calderon, Alicia Witt, Madonna, Quentin Tarantino, Valeria Golino, Lana McKissack, Unruly Julie McClean, Lawrence Bender, Patricia Vonne, Tamlyn Tomita","Robert Rodriguez, Allison Anders, Quentin Tarantino, Alexandre Rockwell","Andrzej Sekula, Rodrigo García, Guillermo Navarro, Phil Parmet","Robert Rodriguez, Allison Anders, Quentin Tarantino, Alexandre Rockwell","Lawrence Bender, Quentin Tarantino, Alexandre Rockwell","Combustible Edison","6.7","114887.0","/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg"
"6","Judgment Night","6.5","354.0","Released","1993-10-15","12136938.0","109.0","21000000.0","tt0107286","en","Judgment Night","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","1.2895","Don't move. Don't whisper. Don't even breathe.","Action, Crime, Thriller","Largo Entertainment, JVC, Universal Pictures","United States of America","English","Michael Wiseman, Michael DeLorenzo, Everlast, Angela Alvarado, Eugene Williams, Jeremy Piven, Will Zahrn, Robert S. Neville, Christine Harnos, Raichle Watt, Denis Leary, Darin Mangan, Deirdre Kelly, Hank McGill, Mark Phelan, Doug Wert, Stuart Abramson, Lydell M. Cheshier, Galyn Görg, Stephen Dorff, Michael Scranton, Relioues Webb, Nigel Gibbs, Kathleen Perkins, Sean O'Grady, Cuba Gooding Jr., Peter Greene, Donovan D. Ross, David L. Crowley, Lauren Robinson, Emilio Estevez","Stephen Hopkins","Peter Levy","Jere Cunningham, Lewis Colick","Gene Levy, Marilyn Vance, Lloyd Segan","Alan Silvestri","6.6","20268.0","/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg"
"8","Life in Loops (A Megacities RMX)","7.5","27.0","Released","2006-01-01","0.0","80.0","42000.0","tt0825671","en","Life in Loops (A Megacities RMX)","Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world """"megacities"""" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006","3.203","A Megacities remix.","Documentary","inLoops","Austria","English, हिन्दी, 日本語, Pусский, Español","","Timo Novotny","Wolfgang Thaler","Michael Glawogger, Timo Novotny","Ulrich Gehmacher, Timo Novotny","","8.1","285.0","/7ln81BRnPR2wqxuITZxEciCe1lc.jpg"
"9","Sunday in August","6.8","28.0","Released","2004-09-02","0.0","15.0","0.0","tt0425473","de","Sonntag im August","","0.3776","","Drama","","Germany","Deutsch","Rita Lengyel, Milton Welsh","Anna Haas, Marc Meyer","Peter Polsak-Lohmann","Marc Meyer","Marc Meyer","Christian Biegai","6.8","14.0",""
"11","Star Wars","8.205","21390.0","Released","1977-05-25","775398007.0","121.0","11000000.0","tt0076759","en","Star Wars","Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","15.9859","A long time ago in a galaxy far, far away...","Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox","United States of America","English","Peter Sturgeon, Warwick Diamond, Frank Henson, Ted Gagliano, Kenny Baker, David Prowse, Drewe Henley, Phil Tippett, Angus MacInnes, Hal Wamsley, Fred Wood, Phil Brown, Alec Guinness, Robert Davies, Linda Jones, William Hootkins, Anthony Lang, Bill Weston, Mahjoub, Frazer Diamond, Colin Higgins, Burnell Tucker, Morgan Upton, Marcus Powell, Roy Straite, Scott Beach, Laine Liska, Anthony Daniels, Tommy Ilsley, Derek Lyons, Colin Michael Kitchens, Alfie Curtis, Geoffrey Moon, John Sylla, Robert A. Denham, Barry Copping, Carrie Fisher, Joe Kaye, David Ankrum, Jon Berg, Joe Johnston, Grant McCune, Tiffany Hillkurtz, Mandy Morton, Shane Rimmer, Jerry Walter, Jack Klaff, Ted Burnett, Richard LeParmentier, Ron Tarr, Pam Rose, John Cannon, Annette Jones, Diana Sadley Way, Peter Cushing, James Earl Jones, Lightning Bear, Gilda Cohen, Harrison Ford, Peter Sumner, Michael Leader, John Chapman, Alf Mangan, Jack Purvis, Peter Diamond, Erica Simmons, Shelagh Fraser, Doug Beswick, Barry Gnome, George Stock, Tom Sylla, Arthur Howell, Janice Burchette, Tim Condren, Reg Harding, Frances Alfred Basil Tomlin, Al Lampert, Graham Ashley, Melissa Kurtz, Denis Lawson, Kim Falkinburg, Anthony Forrest, Salo Gardner, Paul Blake, Steve Gawley, Mark Hamill, Garrick Hagon, Malcolm Tierney, Sadie Eden, Peter Mayhew, Leslie Schofield, Larry Ward, Eddie Byrne, Angela Staines, Alex McCrindle, Lorne Peterson, Isaac Grand, Alan Harris, George Roubicek, Rusty Goffe, Don Henderson, Harry Fielder, Jeremy Sinden, Maria De Aragon","George Lucas","Gilbert Taylor","George Lucas","Gary Kurtz, George Lucas","John Williams","8.6","1527167.0","/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg"
"12","Finding Nemo","7.8","19797.0","Released","2003-05-30","940335536.0","100.0","94000000.0","tt0266543","en","Finding Nemo","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","15.2256","There are 3.7 trillion fish in the ocean. They're looking for one.","Animation, Family","Pixar","United States of America","English","Geoff Brooks, Lisa Peers, Paul Eiding, Mickie McGowan, Albert Brooks, Jess Harnell, Laraine Newman, Phil Proctor, Sherry Lynn, Daryl Sabara, Danny Mann, Laura Marano, Elizabeth Perkins, Annelise Nolting, David Ian Salter, Willem Dafoe, James S. Baker, Bradley Trevor Greive, Alec Medlock, Leland Grossman, Jeff Pidgeon, Marc John Jefferies, Carlos Alazraqui, Ben Stanton, Eliza Schneider, Bill Hunter, Stephen Root, Noah Luke, Ellen DeGeneres, Rove McManus, Bobby Block, Bob Bergen, Jack Angel, Evan Sabara, John Ratzenberger, Austin Pendleton, Aaron Fors, Barry Humphries, Jennifer Darling, Katherine Ringgold, Kali Whitehurst, Joe Ranft, LuLu Ebeling, Oliver Kindred, Jordan Ranft, Erik Per Sullivan, Jim Ward, Eric Bana, Lili Ishida, Emmett Shoemaker, Brad Garrett, Nicole Miller, Caroline Kindred, Jane Carr, Vicki Lewis, Jessie Flower, Vanessa Marano, Bob Peterson, Alexander Gould, Lee Unkrich, Jan Rabson, Andrew Stanton, Nicholas Bird, Geoffrey Rush, Erica Beck, Susan Blu, Bruce Spence, Allison Janney","Andrew Stanton","Sharon Calahan, Jeremy Lasky","Blake Tucker, Bob Peterson, Andrew Stanton, David Reynolds, Adam Bronstein, Ronnie del Carmen, Will Csaklos, Jim Capobianco","John Lasseter, Graham Walters","Thomas Newman","8.2","1172777.0","/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg"
"13","Forrest Gump","8.466","28515.0","Released","1994-06-23","677387716.0","142.0","55000000.0","tt0109830","en","Forrest Gump","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","16.1222","The world will never be the same once you've seen it through the eyes of Forrest Gump.","Comedy, Drama, Romance","Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions","United States of America","English","Jeffrey Winner, Gary Robinson, Michael Garvey, Dick Stilwell, John Voldstad, Christine Seabrook, Lenny Herb, Michael McFall, Rob Landry, Bobby Richardson, Kurt Russell, Michael Satterfield, Teresa Denton, Jacqueline Lovell, John Randall, Chiffonye Cobb, Michael Mattison, Jim Keller, Bruce Lucvia, Beth Aylward, Mykelti Williamson, John Worsham, Darrell O'Cook, Teddy Lane Jr., Brett Rice, Vanessa Roth, Dick Clark, Gary Sinise, Charles Boswell, Hanna Hall, Lonnie Hamilton, John F. Kennedy, Tiffany Salerno, Bill Roberson, Daniel C. Striepeke, Michael Flannery, Deborah McTeer, Daniel Chamblin, Logan Livingston Gomez, Natalie Hendrix Tate, Margo Moorer, Al Harrington, Jenny Inge Devaney, John Glenn Harding, William Shipman, Matt Wallace, Neil Armstrong, Fay Genens, Scott Oliver, Christopher Jones, Michael Conner Humphreys, Jim Damron, Calvin Gadsden, Paul Raczkowski, Hilary Chaplain, Bob Hope, Sam Anderson, Andrew Lepper, Rebecca Williams, Gerald Ford, Grand L. Bush, Ronald Reagan, Ed Davis, Harold G. Herthum, Mike Jolly, Angela Lomas, David Brisbin, Lyndon B. Johnson, Elizabeth Hanks, Danté McCarthy, Mark A. Rich, Russ Isles, Keri-Anne Bilotta, Joe Abby, Jason McGuire, Sonny Shroyer, Mary Ellen Trainor, Robin Wright, Afemo Omilami, Byron Minns, Todd Adamson, Matt Rebenkoff, Bob Harks, Sally Field, Emily Carey, Kevin Mangan, Michael Kemmerling, Haley Joel Osment, Marcus Batton, Siobhan Fallon Hogan, Alexander Zemeckis, Ellsworth Hanna, Michael J. Oliver, George Kelly, Ben Waddel, Kitty K. Green, Grady Bowman, Hallie D'Amore, John Connally, Michael Burgess, Beau Lotterman, Daniel J. Gillooly, Timothy McNeil, Robb Skyler, Mark Matheisen, Jeanne Hanna, Darren W. Conrad, Kirk Ward, Jay Ross, Russ Wilson, Zach Hanner, Neal MacMillan, Rob Adams, Steven Griffith, Aaron Izbicki, W. Benson Terry, John Simmit, Zhuang Zedong, Isabel Rose, Troy Christian, Pete Auster, Elvis Presley, Ryan Duncan, Frank Geyer, George Wallace, Greg Brown, Jed Gillin, Clint Calvert, Lazarus Jackson, John-Michael Steele, Marlena Smalls, John William Galt, Leigh Goodoff, Jack Bowden, Markus Alexander, Jim Hanks, Ione M. Telech, Stephen Bridgewater, Joe Alaskey, Peter Bannon, Dick Cavett, Robert F. Kennedy, Brendan Shanahan, Tyler Long, Michael Jace, Eric Alan Wendell, Joe Washington, Don Fischer, Jim Boeke, Tim Perry, Bonnie Ann Burgess, Aloysius Gigl, Geoffrey Blake, Bryan Hanna, Valentine, Bob Penny, Kevin Davis, Juan Singleton, Timothy Record, Aaron Michael Lacey, Peter Dobson, John Lennon, Conor Kennelly, Richard D'Alessandro, Richard Nixon, Kenneth Bevington, Joe Stefanelli, Eric Underwood, Arthur Bremer, Paulie DiCocco, Marla Sucharetza, James Ent, Steve DeRelian, Tom Hanks, Christopher James Hall, Nora Dunfee","Robert Zemeckis","Don Burgess","Winston Groom, Eric Roth","Steve Starkey, Wendy Finerman, Steve Tisch","Alan Silvestri","8.8","2409566.0","/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg"
"id","title","vote_average","vote_count","status","release_date","revenue","runtime","budget","imdb_id","original_language","original_title","overview","popularity","tagline","genres","production_companies","production_countries","spoken_languages","cast","director","director_of_photography","writers","producers","music_composer","imdb_rating","imdb_votes","poster_path"
